('aaflalo.me', 'https://dns-nyc.aaflalo.me/dns-query')
('aattwwss', 'https://aattwwss.duckdns.org/dns-query')
('aaytorr.com', 'https://dns.aaytorr.com/dns-query')
('abel.waringer-atg.de', 'https://abel.waringer-atg.de/dns-query')
('Absolight', 'https://res-acst1.absolight.net/dns-query')
('Absolight', 'https://res-acst3.absolight.net/dns-query')
('Absolight', 'https://resolver1.absolight.net/dns-query')
('Absolight', 'https://resolver3.absolight.net/dns-query')
('abstergo.it', 'https://block.abstergo.it/dns-query')
('AdFilter', 'https://adl.adfilter.net/dns-query')
('AdFilter', 'https://per.adfilter.net/dns-query')
('AdFilter', 'https://syd.adfilter.net/dns-query')
('AdGuard', 'https://dns.adguard.com/dns-query')
('AdGuard', 'https://dns-family.adguard.com/dns-query')
('AdGuard', 'https://unfiltered.adguard-dns.com/dns-query')
('adguardh.ga', 'https://adguardh.ga/dns-query')
('Adrian Lam', 'https://dns.adrianlam.com/dns-query')
('aFixer', 'https://shield.afixer.app/dns-query')
('AhaDNS Blitz', 'https://blitz.ahadns.com')
('AhaDNS Blitz', 'https://blitz.ahadns.com/1')
('AhaDNS Blitz', 'https://blitz.ahadns.com/1')
('AhaDNS', 'https://doh.nl.ahadns.net/dns-query')
('Aihe', 'https://aihe.app/dns-query')
('alekberg', 'https://dnsnl.alekberg.net/dns-query')
('alekberg', 'https://dnsse.alekberg.net/dns-query')
('alekberg', 'https://dnsnl-noads.alekberg.net/dns-query')
('alekberg', 'https://dnsse-noads.alekberg.net/dns-query')
('Alibaba Public DNS', 'https://dns.alidns.com/dns-query')
('alloxr.info', 'https://dns.alloxr.info/dns-query')
('Almir1904', 'https://dns.almir1904.eu/dns-query')
('Alvosec', 'https://dns.alvosec.com/dns-query')
('Ambiya', 'https://adguard.ambiya.net/dns-query')
('amlegion.org', 'https://mailer.amlegion.org/dns-query')
('Andrew', 'https://dns.andrewnw.xyz/dns-query')
('Andrews & Arnold', 'https://dns.aa.net.uk/dns-query')
('Apem Legit', 'https://d.apemlegit.my.id/dns-query')
('armorrush', 'https://armorrush.eu.org/dns-query')
('Artikel10', 'https://dns.artikel10.org/dns-query')
('Asteroid B612', 'https://dns.b612.me/dns-query')
('AT&T', 'https://dohtrial.att.net')
('Avast', 'https://secure.avastdns.com/dns-query')
('Aviontex', 'https://dns.keweon.center/dns-query')
('Awan.ftp.sh', 'https://awan.ftp.sh/dns-query')
('Awan.ftp.sh', 'https://awan.ftp.sh/no-vice')
('Awan.ftp.sh', 'https://awan.ftp.sh/noporn-cl')
('Awan.ftp.sh', 'https://awan.ftp.sh/unblocked')
('aws.ketan.dev', 'https://pihole.aws.ketan.dev/dns-query')
('axaxa', 'https://axaxa.fun/dns-query')
('b33', 'https://dns.b33.space/dns-query')
('Bancuh', 'https://sg-dns1.bancuh.com/dns-query')
('Bancuh', 'https://fr-dns1.bancuh.com/dns-query')
('Bancuh', 'https://jp-dns1.bancuh.com/dns-query')
('bcandrade', 'https://bcandrade.ml/dns-query')
('BebasDNS', 'https://dns.bebasid.com/dns-query')
('beliefanx.cn', 'https://adguard.beliefanx.cn/dns-query')
('Belnet', 'https://dns.belnet.be/dns-query')
('benpro', 'https://dns.benpro.fr/dns-query')
('bit-trail.nl', 'https://ns3.bit-trail.nl/dns-query')
('Bitdefender', 'https://dns.bitdefender.net/dns-query')
('bitteeinbyte.de', 'https://adguard.bitteeinbyte.de/dns-query')
('Blahdns', 'https://doh-ch.blahdns.com/dns-query')
('Blahdns', 'https://doh-sg.blahdns.com/dns-query')
('Blahdns', 'https://doh-fi.blahdns.com/dns-query')
('Blahdns', 'https://doh-jp.blahdns.com/dns-query')
('Blahdns', 'https://doh-de.blahdns.com/dns-query')
('BlissDNS', 'https://us1.blissdns.net/dns-query')
('Blokada DNS', 'https://dns.blokada.org/dns-query')
('bluemood', 'https://bluemood.me/dns-query')
('Bob Strecansky', 'https://dns.bobstrecansky.com/dns-query')
('boje8.me', 'https://doh.boje8.me/dns-query')
('Bortzmeyer', 'https://doh.bortzmeyer.fr')
('bosco.ovh', 'https://cloudns.bosco.ovh/dns-query')
('Brahma World', 'https://dns.brahma.world/dns-query')
('BT', 'https://doh.bt.com')
('Bunny', 'https://doh1.b-cdn.net/dns-query')
('bw.i81.ru', 'https://dns.bw.i81.ru/dns-query')
('C-dns', 'https://www.c-dns.com/dns-query')
('carson-family.com', 'https://dns.carson-family.com/dns-query')
('cbio.top', 'https://dns2.cbio.top/dns-query')
('Ccb-net', 'https://doh.ccb-net.it')
('Charter', 'https://doh-01.spectrum.com/dns-query')
('Charter', 'https://doh-02.spectrum.com/dns-query')
('chenu.ch', 'https://dns.chenu.ch/dns-query')
('Chromeina', 'https://dns.chromeina.top/dns-query')
('Chungyu', 'https://oraclejp2.chungyu.com/dns-query')
('CIRA Canadian Shield', 'https://private.canadianshield.cira.ca/dns-query')
('CIRA Canadian Shield', 'https://protected.canadianshield.cira.ca/dns-query')
('CIRA Canadian Shield', 'https://family.canadianshield.cira.ca/dns-query')
('Cisco Umbrella (OpenDNS)', 'https://doh.opendns.com/dns-query')
('Cisco Umbrella (OpenDNS)', 'https://doh.familyshield.opendns.com/dns-query')
('Clanless.ovh', 'https://dns.clanless.ovh/dns-query')
('CleanBrowsing', 'https://doh.cleanbrowsing.org/doh/family-filter/')
('CleanBrowsing', 'https://doh.cleanbrowsing.org/doh/adult-filter/')
('CleanBrowsing', 'https://doh.cleanbrowsing.org/doh/security-filter/')
('CLEARVIEW', 'https://cvt-ic-us-adns-001.clearviewtechnology.net/dns-query')
('Cloudflare', 'https://cloudflare-dns.com/dns-query')
('Cloudflare', 'https://mozilla.cloudflare-dns.com/dns-query')
('Cloudflare', 'https://security.cloudflare-dns.com/dns-query')
('Cloudflare', 'https://family.cloudflare-dns.com/dns-query')
('Cloudflare', 'https://dns64.cloudflare-dns.com/dns-query')
('cloudnx.cloud', 'https://dns-secondary.cloudnx.cloud/dns-query')
('COLA16K', 'https://jpdns.cola16.app/dns-query')
('Comcast', 'https://doh.xfinity.com/dns-query')
('comeonjames.club', 'https://dns.comeonjames.club/dns-query')
('Computer Incident Response Center Luxembourg', 'https://dns.circl.lu/dns-query')
('Comss', 'https://dns.comss.one/dns-query')
('connect.fail', 'https://dns.connect.fail/dns-query')
('ControlD', 'https://freedns.controld.com/p0')
('ControlD', 'https://freedns.controld.com/p1')
('ControlD', 'https://freedns.controld.com/p2')
('ControlD', 'https://freedns.controld.com/p3')
('ControlD', 'https://freedns.controld.com/family')
('ControlD', 'https://freedns.controld.com/x-oisd')
('cossxiu', 'https://cossxiu.ga/dns-query')
('cwlys.com', 'https://dns.cwlys.com/dns-query')
('CZ.NIC', 'https://odvr.nic.cz/dns-query')
('d365.in', 'https://dns.d365.in/dns-query')
('d94.xyz', 'https://dns.d94.xyz/dns-query')
('d96.info', 'https://dns.d96.info/dns-query')
('Daegan Nesselrode', 'https://adguard.dtness.com/dns-query')
('Daniel Woffinden', 'https://dns.daw.dev/dns-query')
('Danielle McLean', 'https://ns.00dani.me/dns-query')
('darkness.is.my.waifu', 'https://darkness.is.my.waifu.cz/dns-query')
('data.haus', 'https://mail.data.haus/dns-query')
('DataCore', 'https://doh.datacore.ch/dns-query')
('Datahata.by', 'https://doh.datahata.by/dns-query')
('datamatter.co.za', 'https://pihole.datamatter.co.za/dns-query')
('Decloudus', 'https://dns.decloudus.com/dns-query')
('Dekonix.ru', 'https://adguard.dekonix.ru/dns-query')
('depieri.net', 'https://adguard.depieri.net/dns-query')
('dessoi.cloud', 'https://adguard.dessoi.cloud/dns-query')
('Detoxify Porn Blocker', 'https://doh-primary-pool.detoxifypornblocker.com/dns-query')
('dewed.de', 'https://mainframe.dewed.de/dns-query')
('dgca.myds.me', 'https://dgca.myds.me/dns-query')
('dgea.fr', 'https://dns.dgea.fr/dns-query')
('Digitale Gesellschaft', 'https://dns.digitale-gesellschaft.ch/dns-query')
('Disconnect.app', 'https://doh.disconnect.app/dns-query')
('dns0.eu', 'https://open.dns0.eu')
('dns0.eu', 'https://dns0.eu')
('dns0.eu', 'https://zero.dns0.eu')
('dns0.eu', 'https://kids.dns0.eu')
('DNS For Family', 'https://dns-doh.dnsforfamily.com/dns-query')
('dns.digitalsize.net', 'https://dns.digitalsize.net/dns-query')
('dns.linkr.ninja', 'https://dns.linkr.ninja/dns-query')
('dns.nomu.pw', 'https://ttag.dns.nomu.pw/dns-query')
('DNS.SB', 'https://doh.dns.sb/dns-query')
('DNS.SB', 'https://doh.sb/dns-query')
('dns.terumi.club', 'https://apne1.dns.terumi.club/dns-query')
('DNS4all', 'https://doh.dns4all.eu/dns-query')
('dns4me', 'https://nz01.dns4me.net')
('dns4me', 'https://au01.dns4me.net')
('dns4me', 'https://au02.dns4me.net')
('dns4me', 'https://sg01.dns4me.net')
('dns4me', 'https://uk01.dns4me.net')
('dns4me', 'https://us01.dns4me.net')
('dns4me', 'https://us02.dns4me.net')
('dns4me', 'https://sa01.dns4me.net')
('dns4me', 'https://ca01.dns4me.net')
('dns4me', 'https://ca02.dns4me.net')
('dnsadguard.co.uk', 'https://www.dnsadguard.co.uk/dns-query')
('dnscrypt.ca', 'https://dns1.dnscrypt.ca::453/dns-query')
('dnsenc.com', 'https://dnsenc.com/dns-query')
('dnsforge.de', 'https://dnsforge.de/dns-query')
('dnsHome.de', 'https://dns.dnshome.de/dns-query')
('dnslow.me', 'https://dnslow.me/dns-query')
('DNSPod', 'https://dns.pub/dns-query')
('dnswarden', 'https://dns.dnswarden.com/adblock')
('dnswarden', 'https://dns.dnswarden.com/uncensored')
('dnswarden', 'https://dns.dnswarden.com/adultfilter')
('DoTLS', 'https://ns1.dotls.org/dns-query')
('dscloud.me', 'https://doh.dscloud.me/dns-query')
('Dukun.de', 'https://dukun.de/dns-query')
('DutchWhite', 'https://dns.dutchwhite.nl/dns-query')
('Edgy DNS', 'https://edgy-dns.com/dns-query')
('edison42.dev', 'https://dns.edison42.dev/dns-query')
('ef67daisuki.club', 'https://adguard.ef67daisuki.club/dns-query')
('elbschloss.xyz', 'https://hole.elbschloss.xyz/dns-query')
('Element', 'https://dns.unerror.network/dns-query')
('Elemental Software', 'https://dns.elemental.software/dns-query')
('Elli', 'https://dns.ellichua.com/dns-query')
('elshad-adgh-dns.ru', 'https://www.elshad-adgh-dns.ru/dns-query')
('Emiliyan Parvanov', 'https://dns.emiliyan.com/dns-query')
('Extrawdw', 'https://dns.extrawdw.net/dns-query')
('eyecay.xyz', 'https://fra1.eyecay.xyz/dns-query')
('FAELIX', 'https://rdns.faelix.net/')
('FAELIX', 'https://pdns.faelix.net/')
('Familia', 'https://dnsvps.familiamv.ml/dns-query')
('Fancyorg.at', 'https://dns.fancyorg.at/dns-query')
('faze.dev', 'https://dns.faze.dev/dns-query')
('ff0x', 'https://ag.ff0x.ca/dns-query')
('ffmuc.net', 'https://doh.ffmuc.net/dns-query')
('FilipCCz.eu', 'https://dns.filipccz.eu/dns-query')
('Flm9.net', 'https://dns01.flm9.net/dns-query')
('floDNS', 'https://ns1.flodns.net/dns-query')
('floDNS', 'https://ns2.flodns.net/dns-query')
('flymc.cc', 'https://dns.flymc.cc/dns-query')
('fmipauns', 'https://dns.mipauns.com/dns-query')
('fomichev.cloud', 'https://gateway.fomichev.cloud/dns-query')
('Foundation for Applied Privacy', 'https://doh.applied-privacy.net/query')
('Froth.zone', 'https://dns.froth.zone/dns-query')
('FutaDNS', 'https://doh.futa.gg/dns-query')
('gbrossi.com.br', 'https://adguard.gbrossi.com.br/dns-query')
('gclouddns', 'https://gclouddns.com/dns-query')
('Gnb09', 'https://dns.gnb09.id/dns-query')
('Google', 'https://dns.google/dns-query')
('Google', 'https://dns64.dns.google/dns-query')
('Google', 'https://8888.google/dns-query')
('groupy.ga', 'https://groupy.ga/dns-query')
('gslb2.xfinity.com', 'https://doh2.gslb2.xfinity.com/dns-query')
('gustamadh', 'https://gustamadh.dynv6.net/dns-query')
('Gustavus Adolphus College', 'https://cluster-0.gac.edu/dns-query')
('Gustavus Adolphus College', 'https://cluster-1.gac.edu/dns-query')
('gztech', 'https://gztech.me/dns-query')
('ha-dvin.pp.ua', 'https://dns.ha-dvin.pp.ua/dns-query')
('HafidzRadhivalDNS', 'https://dns.hafidzradhival.my.id/dns-query')
('HaNeulo', 'https://adguard.haneulo.com/dns-query')
('haoxuan.xyz', 'https://dns.haoxuan.xyz/dns-query')
('HeliumCloud', 'https://us-ny-alula.heliumcloud.cc/dns-query')
('heronet', 'https://ad1.heronet.nl/dns-query')
('Hinet', 'https://dns.hinet.net/dns-query')
('hitian.me', 'https://hitian.me/dns-query')
('Hoerli.NET', 'https://pihole1.hoerli.net/dns-query')
('Hoerli.NET', 'https://pihole2.hoerli.net/dns-query')
('Hoerli.NET', 'https://pihole4.hoerli.net/dns-query')
('home27', 'https://home27.duckdns.org/dns-query')
('Hostux.net', 'https://dns.hostux.net/dns-query')
